 Project: Custom.Gravitate.Library,Package: TimeZoneNames, Version: 3.3.0
 Project: Custom.Gravitate.Notification,Package: ActionMailer, Version: 0.7.4
 Project: Custom.Gravitate.Notification,Package: ActionMailer.Standalone, Version: 0.7.4
 Project: Custom.Gravitate.Notification,Package: AK.System.Linq.Dynamic, Version: 1.1.20.1
 Project: Custom.Gravitate.Notification,Package: AngleSharp, Version: 0.9.11
 Project: Custom.Gravitate.Notification,Package: BouncyCastle, Version: 1.8.1
 Project: Custom.Gravitate.Notification,Package: Box.V2, Version: 3.9.0
 Project: Custom.Gravitate.Notification,Package: Castle.Core, Version: 4.2.1
 Project: Custom.Gravitate.Notification,Package: Castle.WcfIntegrationFacility, Version: 4.1.0
 Project: Custom.Gravitate.Notification,Package: Castle.Windsor, Version: 4.1.0
 Project: Custom.Gravitate.Notification,Package: Castle.Windsor.Lifestyles, Version: 0.4.0
 Project: Custom.Gravitate.Notification,Package: Common.Logging, Version: 3.4.1
 Project: Custom.Gravitate.Notification,Package: Common.Logging.Core, Version: 3.4.1
 Project: Custom.Gravitate.Notification,Package: Common.Logging.Log4Net208, Version: 3.4.1
 Project: Custom.Gravitate.Notification,Package: DocumentFormat.OpenXml, Version: 2.5.0
 Project: Custom.Gravitate.Notification,Package: EWS-Api-2.0, Version: 1.0.1
 Project: Custom.Gravitate.Notification,Package: Flee, Version: 1.2.2
 Project: Custom.Gravitate.Notification,Package: FluentValidationNA, Version: 1.2.16
 Project: Custom.Gravitate.Notification,Package: GenericParser, Version: 1.1.6
 Project: Custom.Gravitate.Notification,Package: Gravitate.Core, Version: 5.8.2
 Project: Custom.Gravitate.Notification,Package: Gravitate.Quartz.Server, Version: 5.8.2
 Project: Custom.Gravitate.Notification,Package: HtmlSanitizer, Version: 4.0.217
 Project: Custom.Gravitate.Notification,Package: iTextSharp, Version: 5.5.12
 Project: Custom.Gravitate.Notification,Package: log4net, Version: 2.0.8
 Project: Custom.Gravitate.Notification,Package: Microsoft.AspNet.Razor, Version: 3.2.7
 Project: Custom.Gravitate.Notification,Package: Microsoft.AspNet.WebPages.Data, Version: 3.2.3
 Project: Custom.Gravitate.Notification,Package: Microsoft.AspNet.WebPages.WebData, Version: 3.2.3
 Project: Custom.Gravitate.Notification,Package: Microsoft.CSharp, Version: 4.4.1
 Project: Custom.Gravitate.Notification,Package: Microsoft.Exchange.WebServices, Version: 2.2.0
 Project: Custom.Gravitate.Notification,Package: Microsoft.IdentityModel, Version: 6.1.7600.16394
 Project: Custom.Gravitate.Notification,Package: Microsoft.IdentityModel.JsonWebTokens, Version: 5.3.0
 Project: Custom.Gravitate.Notification,Package: Microsoft.IdentityModel.Logging, Version: 5.3.0
 Project: Custom.Gravitate.Notification,Package: Microsoft.IdentityModel.Tokens, Version: 5.3.0
 Project: Custom.Gravitate.Notification,Package: morelinq, Version: 3.1.1
 Project: Custom.Gravitate.Notification,Package: Newtonsoft.Json, Version: 12.0.3
 Project: Custom.Gravitate.Notification,Package: Quartz, Version: 2.6.1
 Project: Custom.Gravitate.Notification,Package: RazorEngine, Version: 3.4.1
 Project: Custom.Gravitate.Notification,Package: RestSharp, Version: 106.11.7
 Project: Custom.Gravitate.Notification,Package: SD.LLBLGen.Pro.DQE.SqlServer, Version: 5.5.1
 Project: Custom.Gravitate.Notification,Package: SD.LLBLGen.Pro.ORMSupportClasses, Version: 5.5.1
 Project: Custom.Gravitate.Notification,Package: SpreadsheetLight, Version: 3.4.9
 Project: Custom.Gravitate.Notification,Package: System.IdentityModel.Tokens.Jwt, Version: 5.3.0
 Project: Custom.Gravitate.Notification,Package: System.Runtime.InteropServices.RuntimeInformation, Version: 4.3.0
 Project: Custom.Gravitate.Notification,Package: System.ValueTuple, Version: 4.4.0
 Project: Custom.Gravitate.Notification,Package: TimeZoneConverter, Version: 2.3.0
 Project: Custom.Gravitate.Notification,Package: TimeZoneNames, Version: 3.3.0
 Project: Custom.Gravitate.Notification,Package: Topshelf, Version: 3.1.3
 Project: Custom.Gravitate.Notification,Package: WinSCP, Version: 5.11.3
 Project: Custom.Gravitate.WCF,Package: AK.System.Linq.Dynamic, Version: 1.1.20.1
 Project: Custom.Gravitate.WCF,Package: AngleSharp, Version: 0.9.11
 Project: Custom.Gravitate.WCF,Package: BouncyCastle, Version: 1.8.1
 Project: Custom.Gravitate.WCF,Package: Box.V2, Version: 3.9.0
 Project: Custom.Gravitate.WCF,Package: Castle.Core, Version: 4.2.1
 Project: Custom.Gravitate.WCF,Package: Castle.WcfIntegrationFacility, Version: 4.1.0
 Project: Custom.Gravitate.WCF,Package: Castle.Windsor, Version: 4.1.0
 Project: Custom.Gravitate.WCF,Package: Castle.Windsor.Lifestyles, Version: 0.4.0
 Project: Custom.Gravitate.WCF,Package: Common.Logging, Version: 3.4.1
 Project: Custom.Gravitate.WCF,Package: Common.Logging.Core, Version: 3.4.1
 Project: Custom.Gravitate.WCF,Package: Flee, Version: 1.2.2
 Project: Custom.Gravitate.WCF,Package: FluentValidationNA, Version: 1.2.16
 Project: Custom.Gravitate.WCF,Package: GenericParser, Version: 1.1.6
 Project: Custom.Gravitate.WCF,Package: Gravitate.Core, Version: 5.8.2
 Project: Custom.Gravitate.WCF,Package: HtmlSanitizer, Version: 4.0.217
 Project: Custom.Gravitate.WCF,Package: iTextSharp, Version: 5.5.12
 Project: Custom.Gravitate.WCF,Package: log4net, Version: 2.0.8
 Project: Custom.Gravitate.WCF,Package: Microsoft.CSharp, Version: 4.4.1
 Project: Custom.Gravitate.WCF,Package: Microsoft.IdentityModel, Version: 6.1.7600.16394
 Project: Custom.Gravitate.WCF,Package: Microsoft.IdentityModel.JsonWebTokens, Version: 5.3.0
 Project: Custom.Gravitate.WCF,Package: Microsoft.IdentityModel.Logging, Version: 5.3.0
 Project: Custom.Gravitate.WCF,Package: Microsoft.IdentityModel.Tokens, Version: 5.3.0
 Project: Custom.Gravitate.WCF,Package: morelinq, Version: 3.1.1
 Project: Custom.Gravitate.WCF,Package: Newtonsoft.Json, Version: 12.0.3
 Project: Custom.Gravitate.WCF,Package: RestSharp, Version: 106.11.7
 Project: Custom.Gravitate.WCF,Package: SD.LLBLGen.Pro.DQE.SqlServer, Version: 5.5.1
 Project: Custom.Gravitate.WCF,Package: SD.LLBLGen.Pro.ORMSupportClasses, Version: 5.5.1
 Project: Custom.Gravitate.WCF,Package: SpreadsheetLight, Version: 3.4.9
 Project: Custom.Gravitate.WCF,Package: System.IdentityModel.Tokens.Jwt, Version: 5.3.0
 Project: Custom.Gravitate.WCF,Package: System.Runtime.InteropServices.RuntimeInformation, Version: 4.3.0
 Project: Custom.Gravitate.WCF,Package: System.ValueTuple, Version: 4.4.0
 Project: Custom.Gravitate.WCF,Package: TimeZoneConverter, Version: 2.3.0
 Project: Custom.Gravitate.WCF,Package: TimeZoneNames, Version: 3.3.0
 Project: Custom.Gravitate.WebAPI,Package: ActionMailer, Version: 0.7.4
 Project: Custom.Gravitate.WebAPI,Package: ActionMailer.Standalone, Version: 0.7.4
 Project: Custom.Gravitate.WebAPI,Package: AK.System.Linq.Dynamic, Version: 1.1.20.1
 Project: Custom.Gravitate.WebAPI,Package: AngleSharp, Version: 0.9.11
 Project: Custom.Gravitate.WebAPI,Package: Antlr, Version: 3.5.0.2
 Project: Custom.Gravitate.WebAPI,Package: BouncyCastle, Version: 1.8.1
 Project: Custom.Gravitate.WebAPI,Package: Box.V2, Version: 3.9.0
 Project: Custom.Gravitate.WebAPI,Package: Castle.Core, Version: 4.2.1
 Project: Custom.Gravitate.WebAPI,Package: Castle.WcfIntegrationFacility, Version: 4.1.0
 Project: Custom.Gravitate.WebAPI,Package: Castle.Windsor, Version: 4.1.0
 Project: Custom.Gravitate.WebAPI,Package: Castle.Windsor.Lifestyles, Version: 0.4.0
 Project: Custom.Gravitate.WebAPI,Package: Common.Logging, Version: 3.4.1
 Project: Custom.Gravitate.WebAPI,Package: Common.Logging.Core, Version: 3.4.1
 Project: Custom.Gravitate.WebAPI,Package: Common.Logging.Log4Net208, Version: 3.4.1
 Project: Custom.Gravitate.WebAPI,Package: DocumentFormat.OpenXml, Version: 2.5.0
 Project: Custom.Gravitate.WebAPI,Package: EWS-Api-2.0, Version: 1.0.1
 Project: Custom.Gravitate.WebAPI,Package: Flee, Version: 1.2.2
 Project: Custom.Gravitate.WebAPI,Package: FluentValidationNA, Version: 1.2.16
 Project: Custom.Gravitate.WebAPI,Package: FromHeaderAttribute, Version: 2.0.4
 Project: Custom.Gravitate.WebAPI,Package: GenericParser, Version: 1.1.6
 Project: Custom.Gravitate.WebAPI,Package: Gravitate.Core, Version: 5.8.2
 Project: Custom.Gravitate.WebAPI,Package: Gravitate.WebApi, Version: 5.8.2
 Project: Custom.Gravitate.WebAPI,Package: HtmlSanitizer, Version: 4.0.217
 Project: Custom.Gravitate.WebAPI,Package: iTextSharp, Version: 5.5.12
 Project: Custom.Gravitate.WebAPI,Package: log4net, Version: 2.0.8
 Project: Custom.Gravitate.WebAPI,Package: Microsoft.AspNet.Identity.Core, Version: 2.2.3
 Project: Custom.Gravitate.WebAPI,Package: Microsoft.AspNet.Identity.Owin, Version: 2.2.3
 Project: Custom.Gravitate.WebAPI,Package: Microsoft.AspNet.Mvc, Version: 5.2.7
 Project: Custom.Gravitate.WebAPI,Package: Microsoft.AspNet.Razor, Version: 3.2.7
 Project: Custom.Gravitate.WebAPI,Package: Microsoft.AspNet.Web.Optimization, Version: 1.1.3
 Project: Custom.Gravitate.WebAPI,Package: Microsoft.AspNet.WebApi, Version: 5.2.7
 Project: Custom.Gravitate.WebAPI,Package: Microsoft.AspNet.WebApi.Client, Version: 5.2.7
 Project: Custom.Gravitate.WebAPI,Package: Microsoft.AspNet.WebApi.Core, Version: 5.2.7
